节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
预防措施及诊疗建议 ,口腔矫治器,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,饮食控制,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,慎用镇静催眠药物,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,心理疏导,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,佩戴面罩,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,替代治疗,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,心理干预,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,控制肥胖,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,早期诊断,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,散步,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,调整生活方式,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,放松训练,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,规律作息,建议适用,睡眠障碍,疾病病种,《睡眠医学》
